ArtikelNummer,Omschrijving,Plato,AlcoholGraad,Eenheid,PrijsInEuroExclusiefTaksen
1008816,Zwarte Madam,20,9.3,24/33cl,33.42
1001777,Abbaye Des Rocs 12/75cl,18.8,8,12/75cl,20.93
1001776,Abbaye Des Rocs 24/33cl,20,9,24/33cl,21.38
1001836,Abbaye Des Rocs Blanche Des Honnelles 12/75cl,14,6,12/75cl,24.22
1001835,Abbaye Des Rocs Blanche Des Honnelles 24/33cl,14,6,24/33cl,14.87
1002555,Abbaye Des Rocs Blonde 12/75cl,16,7.5,12/75cl,19
1005309,Abbaye Des Rocs Blonde 24/33cl,16,6,24/33cl,18.49
1005311,Abbaye Des Rocs Grand Cru 24/33cl,20,9.5,24/33cl,21.79
1005310,Abbaye Des Rocs Imperiale 24/33cl,20,10,24/33cl,21.9
1002214,Abbaye Des Rocs La Montagnarde 12/75cl,16,9,12/75cl,25.12
1002213,Abbaye Des Rocs La Montagnarde 24/33cl,16,9,24/33cl,22.35
1001796,Achel blond 24/33cl,18,8,24/33cl,23.03
1001752,Achel Bruin 24/33cl,18,8,24/33cl,23.03
1002455,Achel Extra 12/75cl,20,9.5,12/75cl,44.69
1001814,Adelardus Dubbel 24/33cl,16,7,24/33cl,19.32
1001815,Adelardus Tripel 24/33cl,22,9,24/33cl,21.62
1006306,Affligem Blond 24/30cl,15.4,6.8,24/30cl,19.21
1006307,Affligem Dubbel 24/30cl,15.4,6.8,24/30cl,19.18
1008583,Affligem Hop Selection,15.55,7,24/30cl,24.01
1006321,Affligem Tripel 24/30cl,19.4,9,24/30cl,24.42
1001797,Antiek Blond 24/33cl,18,8,24/33cl,18.11
1001765,Arend Blond 24/33cl,15.9,6.5,24/33cl,20.33
1002576,Arend Dubbel 24/33cl,15.9,6,24/33cl,20.94
1002575,Arend Tripel 24/33cl,18,8,24/33cl,23.97
1001788,Augustijn 6/75cl,16,8,6/75cl,15.7
1001787,Augustijn Blond 24/33cl,16,8,24/33cl,15.47
1004629,Augustijn Donker 24/33cl,18,8,24/33cl,15.52
1001789,Augustijn Grand Cru 24/33cl,18.5,9,24/33cl,19.52
1001996,Avec Les Bons Voeux Dupont 12/75cl,17.8,9.5,12/75cl,25.89
1004636,"Avec Les Bons Voeux Dupont 24/37,5cl",17.8,9.5,"24/37,5cl",29.02
1006511,Averbode 12/75cl,16,7.6,12/75cl,35.76
1006510,Averbode 24/33cl,16,7.6,24/33cl,23.2
1004490,"Bacchus 20/37,5cl",10.6,4.5,"20/37,5cl",25.19
1004631,"Bacchus Framboise 20/37,5cl",14.8,6,"20/37,5cl",32.13
1004548,"Bacchus Kriek 20/37,5cl",18.1,6,"20/37,5cl",29.06
1009022,Barbar 12/75cl,18,8,12/75cl,24.2
1004668,Barbar Blond Beugel 20/33cl,18,8,20/33cl,15.97
1004669,Barbar Bok Donker Beugel 20/33cl,18,8,20/33cl,15.97
1005146,Barbe d'Or 24/33cl,16,7.5,24/33cl,20.57
1005421,Barbe Noire 24/33cl,18,9,24/33cl,25.38
1007120,Barbe Ruby,20,7.7,24/33cl,26.03
1005147,Barbe Rufa 24/33cl,18,8,24/33cl,21.4
1006077,Belgoo Arboo 24/33cl,16.8,8.1,24/33cl,23.79
1006078,Belgoo Bio Amber 24/33cl,16.8,7.8,24/33cl,24.37
1006079,Belgoo Bio Blond 24/33cl,14.8,6.4,24/33cl,23.51
1006076,Belgoo Luppo 24/33cl,14.8,6.5,24/33cl,23.08
1003901,Belgoo Magus 24/33cl,14.8,6.6,24/33cl,22.38
1006075,Belgoo Saisonneke 24/33cl,10.8,4.4,24/33cl,18.9
1001441,Belle Vue Gueuze 24/25cl,12.93,5,24/25cl,15.36
1004052,Belle Vue Kriek Classic 24/25cl,12.9,5.1,24/25cl,16.97
1001224,Belle Vue Kriek Extra 24/25cl,12.9,4.1,24/25cl,16.6
1004915,Bersalis Kadet 24/33cl,10,4.5,24/33cl,22.12
1008764,Bersalis Sourblend,14,6,24/33cl,29.04
1001880,Bersalis Tripel 24/33cl,20,9,24/33cl,25.18
1001667,Bieken 24/33cl,18,8.5,24/33cl,21.64
1001817,Bink Bloesem 24/33cl,16,7,24/33cl,17.95
1001811,Bink Blond 24/33cl,12,5.5,24/33cl,15.58
1001926,Bink Bruin 24/33cl,12,5.5,24/33cl,15.76
1001867,Bink Tripel 6/75cl,22,9,6/75cl,15.15
1004627,Blanche De Bruxelles 12/75cl,12,4.5,12/75cl,17.24
1001670,Blanche De Bruxelles 24/33cl,10,4.5,24/33cl,12.96
1001671,Blanche De Hainaut Bio 24/25cl,12,5.5,24/25cl,13.82
1001840,Blanche De Namur 12/75cl,10.9,4.2,12/75cl,16.82
1001839,Blanche De Namur 24/25cl,10.9,4.2,24/25cl,10.98
1001672,Blanche De Namur 24/33cl,10.7,4.5,24/33cl,13.98
1006721,Blanche de Namur Rosée,12,3.4,24/25cl,14.92
1001871,Bloemenbier 24/33cl,16,7,24/33cl,19.49
1001869,Blonde Bie 24/33cl,20,8,24/33cl,21.76
1001676,Bon Secours Amber 12/33cl,16,8,12/33cl,12.93
1001677,Bon Secours Blonde 12/33cl,16,8,12/33cl,12.93
1001678,Bon Secours Donker 12/33cl,16,8,12/33cl,12.93
1001887,Bon Secours Myrtille 12/33cl,16,8,12/33cl,14.5
1008041,Boon Black Label,14,7,6/75cl,20.27
1001432,Boon Faro Pertotale 24/25cl,11.9,5,24/25cl,12.23
1001430,Boon Framboise 12/37.5cl,12.4,6,"12/37,5cl",21.81
1001701,Boon Framboise 24/25cl,12.4,5,24/25cl,22.72
1001431,Boon Framboise OW 12/75cl,12.4,6,12/75cl,45.66
1001438,Boon Gueuze Mariage Parf. 12/37.5cl,16,5,"12/37,5cl",19.95
1001439,Boon Gueuze Mariage Parf. OW 12/75cl,16,5,12/75cl,39.72
1009640,Boon Gueuze Vat 109 12/37.5cl,16,9,12/37.5cl,58.28
1001435,Boon Kriek 12/37.5cl,12,5,"12/37,5cl",16.4
1001434,Boon Kriek 24/25cl,12,4,24/25cl,16.28
1001440,Boon Kriek Mariage Parf. 12/37.5cl,16.4,8,"12/37,5cl",29.48
1009541,Boon Kriek Mariage Parf. OW 12/75cl,16.4,8,12/75cl,59.06
1001436,Boon Kriek OW 12/75cl,12,5,12/75cl,31.7
1001428,"Boon Oude Gueuze 12/37,5cl",14.1,7,"12/37,5cl",15.26
1001427,Boon Oude Gueuze 24/25cl,14,7,24/25cl,16.8
1001429,Boon Oude Gueuze OW 12/75cl,14,6,12/75cl,29.36
1001437,"Boon Oude Kriek 12/37,5cl",14.5,5,"12/37,5cl",23.37
1006583,Boon Oude Kriek OW,14,6.5,12/75cl,46.89
1007425,Bootjesbier,15.9,7,24/33cl,20.68
1001828,Bornem Dubbel 24/33cl,15.6,7.8,24/33cl,15.44
1001888,Bornem Tripel 24/33cl,18.5,9.2,24/33cl,19.52
1001882,Bosbier 24/25cl,11.2,4.5,24/25cl,17.82
1002584,Bourgogne De Flandres Blond 24/33cl,13.24,5,24/33cl,21.72
1003823,Bourgogne De Flandres Bruin 24/33cl,14.65,5,24/33cl,21.74
1002070,Broeder Jacob Bruin 24/33cl,16,7.5,24/33cl,22.12
1005706,Broeder Jacob Double Port 24/33cl,20,9,24/33cl,26.53
1006479,Broeder Jacob Formidabel 24/33cl,12,5.5,24/33cl,22.99
1002186,Broeder Jacob Tripel 24/33cl,16,7.5,24/33cl,22.11
1006187,Brouwers Verzet Moose Blues 24/33cl,17.5,7.5,24/33cl,24.35
1006188,Brouwers Verzet Super Noah 24/33cl,12.9,4.9,24/33cl,21.84
1001892,Brugge Tripel 24/33cl,18.5,9.5,24/33cl,19.41
1004064,Brugse Zot Blond 12/75cl,14,6,12/75cl,30.94
1001903,Brugse Zot Blond 24/33cl,14,6,24/33cl,20.48
1004094,Brugse Zot Dubbel 12/75cl,16,7,12/75cl,32.3
1001905,Brugse Zot Dubbel 24/33cl,16.3,6,24/33cl,21.55
1001864,Brunehaut Ambré Bio 24/33cl,14.2,6.5,24/33cl,21.98
1001830,Brunehaut Blanche Bio 24/33cl,11.1,5,24/33cl,20.36
1001865,Brunehaut Blonde Bio 24/33cl,14.2,6.5,24/33cl,21.18
1007297,Brunehaut Pomfraiz Bio,12.8,5.5,24/33cl,25.76
1006198,Brunehaut Triple Bio 24/33cl,16.9,8,24/33cl,25.17
1008389,Brussels Beerproject Babylone,14.5,6.5,24/33cl,27.6
1006739,Brussels Beerproject Dark Sister,13.5,6.66,24/33cl,27.1
1006737,Brussels Beerproject Delta IPA,13.5,6.5,24/33cl,27.91
1006738,Brussels Beerproject Grosse Bertha,16.5,7,24/33cl,26.82
1009005,Brussels Beerproject Morning Sunshine 24/33cl,11.2,5.7,24/33cl,30.12
1009003,Brussels Beerproject Red My Lips 24/33cl,10.3,4.7,24/33cl,28.16
1001852,Buffalo 1907 24/33cl,14,6.5,24/33cl,17.93
1004471,Buffalo Belgian Bitter 24/33cl,16,8.5,24/33cl,24.41
1008960,Buffalo Grand Cru,19.1,9,6/75cl,33.27
1002209,Buffalo Lamoral 24/33cl,16.1,8,24/33cl,23.32
1004472,Buffalo Stout 24/33cl,18,9,24/33cl,24.16
1005370,Bush Ambre Triple O.W. 6/75cl,24,12,6/75cl,20.18
1001819,Bush Ambrée 24/33cl,24,12,24/33cl,23.18
1001820,Bush Blond 24/33cl,22,10.5,24/33cl,21.08
1005820,Bush Blond Triple O.W. 6/75cl,22,12,6/75cl,18.1
1001816,Bush De Charmes 6/75cl,22,12,6/75cl,71.94
1004314,Bush De Nuits 6/75cl,24,13,6/75cl,72
1004630,Bush Peche Mel 24/33cl,22,8,24/33cl,22.63
1001818,Bush Prestige 6/75cl,24,11,6/75cl,58.87
1009845,Caracole 12/75cl,16,7.9,12/75cl,26.18
1001911,Caracole 24/33cl,16,7.9,24/33cl,25.07
1001914,Caracole Nostradamus 12/75cl,20,9,12/75cl,28.32
1001915,Caracole Nostradamus 24/33cl,20,9,24/33cl,24.97
1001918,Caracole Saxo 12/75cl,16,7.2,12/75cl,26.25
1001917,Caracole Saxo 24/33cl,16,7.2,24/33cl,23.23
1001940,Chimay Blauw 24/33cl,18.9,9,24/33cl,28.29
1001945,Chimay Cinq Cents 12/75cl,16.9,8,12/75cl,28.93
1006838,Chimay Doree,10,4.8,24/33cl,21.13
1001941,Chimay Grand Reserve 12/75cl,18.9,9,12/75cl,36.05
1001943,Chimay Premiere 12/75cl,15.4,7,12/75cl,24.71
1001942,Chimay Rood 24/33cl,15.5,7,24/33cl,19.96
1001944,Chimay Wit 24/33cl,16.9,8,24/33cl,22.45
1001922,Cuvee de Ciney Blond 24/25cl,14.7,7,24/25cl,18.72
1001923,Cuvee de Ciney Donker 24/25cl,14.7,7,24/25cl,18.72
1002495,Cochonne Vapeur 12/75cl,16,9,12/75cl,23.76
1007846,Cornet Oaked,18.3,8.5,12/75cl,39.41
1006646,Cornet Oaked,18.3,8.5,24/33cl,21.37
1001920,Corsendonk Agnus 24/33cl,16.6,7.5,24/33cl,18.98
1001921,Corsendonk Agnus 6/75cl,15.5,8.1,6/75cl,14.07
1008165,Corsendonk Dubbel Kriek,21.6,8.7,24/33cl,23.45
1008166,Corsendonk Gold,19.7,10,24/33cl,23.73
1001933,Corsendonk Pater 24/33cl,14,7.5,24/33cl,19.28
1001934,Corsendonk Pater 6/75cl,14,8,6/75cl,14.24
1004619,Corsendonk Rousse 24/33cl,18.3,8,24/33cl,19.44
1001935,Cuvee Des Trolls 24/25cl,15.8,7,24/25cl,14.15
1004999,Cuvee Des Trolls 6/75cl,15.8,7,6/75cl,16.83
1009113,De Dochter vd Korenaar Beau Monde 24/33cl,16,6.2,24/33cl,25.93
1005365,De Dochter vd Korenaar Belle Fleur IPA 24/33cl,14,6,24/33cl,33
1002579,De Dochter vd Korenaar Bravoure 24/33cl,15,6.5,24/33cl,29.22
1007175,De Dochter vd Korenaar Charbon 24/33cl,16,7,24/33cl,30.39
1006670,De Dochter vd Korenaar Crime Passionel 24/33cl,16,7.5,24/33cl,27.82
1005535,De Dochter vd Korenaar Embrasse 24/33cl,20,9,24/33cl,37.3
1005916,De Dochter vd Korenaar Extase Double IPA 24/33cl,18,8.5,24/33cl,41.04
1005536,De Dochter vd Korenaar Finesse 24/33cl,18,8.5,24/33cl,31.13
1008772,De Dochter vd Korenaar La Frontière 24/33cl,14,5.2,24/33cl,22.04
1002285,De Dochter vd Korenaar Noblesse 24/33cl,14,5.5,24/33cl,20.39
1005364,De Dochter vd Korenaar Noblesse EO 24/33cl,16,7,24/33cl,27.06
1007394,De Dochter vd Korenaar Passe Partout 24/33cl,10,3,24/33cl,18.86
1007310,De Dochter vd Korenaar Sans Pardon 24/33cl,22,11,24/33cl,36.45
1001977,De Graal Blond 24/33cl,15.3,6.5,24/33cl,17.03
1001978,De Graal Dubbel 24/33cl,11.8,6.5,24/33cl,16.95
1001979,De Graal Gember 24/33cl,16,8,24/33cl,18.1
1004872,De Graal Quest 24/33cl,18.6,9,24/33cl,19.13
1001981,De Graal Tripel 24/33cl,16.8,9,24/33cl,18.87
1001982,De Graal Triverius 24/33cl,14.8,6.8,24/33cl,16.99
1005921,De La Senne Brusseleir 24/33cl,16,8.2,24/33cl,25.82
1005660,De La Senne Jambe De Bois 24/33cl,18,8,24/33cl,25.19
1003822,De La Senne Racines 24/33cl,8,4.2,24/33cl,29.73
1004622,De La Senne Taras Boulba 24/33cl,10,4.5,24/33cl,20.56
1004621,De La Senne Zinnebir 24/33cl,14,5.8,24/33cl,21.15
1007340,De Poes,16,8,24/33cl,25.46
1004066,De Ranke Cuvee 6/75cl,14,7,6/75cl,18.95
1002045,De Ranke Guldenberg 24/33cl,16,8,24/33cl,21.53
1002046,De Ranke Guldenberg 6/75cl,16,8.5,6/75cl,18.39
1005102,De Ranke Hop Harvest 6/75cl,12,6,6/75cl,19.38
1002140,De Ranke Kriek 6/75cl,14,5,6/75cl,21.25
1004498,De Ranke Noir De Dottignies 24/33cl,18,9,24/33cl,21.98
1004546,De Ranke Noir De Dottignies 6/75cl,18,8,6/75cl,17.25
1004945,De Ranke Saison De Dottignies 24/33cl,12,5,24/33cl,19.55
1004946,De Ranke Saison De Dottignies 6/75cl,12,5,6/75cl,15.63
1010339,De Ranke Simplex 24/33cl,10,4.5,24/33cl,19.36
1002540,De Ranke XX-Bitter 24/33cl,12,6,24/33cl,19.55
1002541,De Ranke XX-Bitter 6/75cl,12,6,6/75cl,15.62
1006453,De Ranke XXX-Bitter 6/75cl,12,6.2,6/75cl,19.99
1001466,"De Troch gueuze 12/37,5cl",11.9,5.5,"12/37,5cl",11.8
1001465,De Troch gueuze 24/25cl,13,5.5,24/25cl,11.99
1007754,Delirium Argentum,16,7,12/75cl,48.43
1006725,Delirium Argentum,16,7,24/33cl,27.88
1006014,Delirium Deliria 12/75cl,16,8.5,12/75cl,44.28
1002001,Delirium Nocturnum 12/75cl,16,8.5,12/75cl,40.51
